desc,url,geonames,wikidata
Line47: https://unlockingarchives.com/relaciones/place/huatlatlauca Mexico (country)| Puebla (state)| Huatlatlauca 18.678126 -98.05098,https://unlockingarchives.com/relaciones/place/huatlatlauca,8583114,Q10769258
Line49: https://unlockingarchives.com/relaciones/place/metztitlan Mexico (country)| Hidalgo (state)| Metztitlán 20.596815 -98.76222,https://unlockingarchives.com/relaciones/place/metztitlan,3523287,Q1465498
Line50: https://unlockingarchives.com/relaciones/place/cocula Mexico (country)| Guerrero (state)| Cocula 18.238866 -99.66119,https://unlockingarchives.com/relaciones/place/cocula,3530482,Q5775998
Line51: https://unlockingarchives.com/relaciones/place/choluladerivadabia Mexico (country)| Puebla (state)| Cholula de Rivadabia 19.062581 -98.306357,https://unlockingarchives.com/relaciones/place/choluladerivadabia,,
Line52: https://unlockingarchives.com/relaciones/place/jilotzingo | Mexico (country)| Mexico (state)| Jilotzingo 19.870636 -99.05990,https://unlockingarchives.com/relaciones/place/jilotzingo,8583679,Q2129957
Line53: https://unlockingarchives.com/relaciones/place/coxcatlan Mexico (country)| Puebla (state)| Coxcatlán 18.266262 -97.147278,https://unlockingarchives.com/relaciones/place/coxcatlan,3530150,Q20135264
Line54: https://unlockingarchives.com/relaciones/place/tiripetio Mexico (country)| Michoacán (state)| Tiripetío 19.5506 -101.3452,https://unlockingarchives.com/relaciones/place/tiripetio,3981498,Q6147309
Line55: https://unlockingarchives.com/relaciones/place/zapotitlandevadillo | Mexico (country)| Jalisco (state)| Zapotitlán de Vadillo 19.54753 -103.813409,https://unlockingarchives.com/relaciones/place/zapotitlandevadillo,8582221,Q3311317
Line56: https://unlockingarchives.com/relaciones/place/oaxtepec Mexico (country)| Morelos (state)| Oaxtepec 18.906218 -98.969033,https://unlockingarchives.com/relaciones/place/oaxtepec,3522505,Q1018792
Line57: https://unlockingarchives.com/relaciones/place/santiagoamoltepec | Mexico (country)| Oaxaca (state)| Santiago Amoltepec 16.641311 -97.496198,https://unlockingarchives.com/relaciones/place/santiagoamoltepec,3516971,Q3889082
Line59: https://unlockingarchives.com/relaciones/place/coatzacoalcos Mexico (country)| Veracruz (state)| Coatzacoalcos 18.147329 -94.416455,https://unlockingarchives.com/relaciones/place/coatzacoalcos,3530517,
Line60: https://unlockingarchives.com/relaciones/place/sanjuanzitlaltepec | Mexico (country)| Mexico (state)| San Juan Zitlaltepec 19.810751 -99.147804,https://unlockingarchives.com/relaciones/place/sanjuanzitlaltepec,3518593,
Line61: https://unlockingarchives.com/relaciones/place/papantladeolarte | Mexico (country)| Veracruz (state)| Papantla de Olarte 20.446642 -97.32215,https://unlockingarchives.com/relaciones/place/papantladeolarte,3521922,Q1962777
Line70: https://unlockingarchives.com/relaciones/place/santacruzmixtepec Mexico (country)| Oaxaca (state)| Santa Cruz Mixtepec 16.792501 -96.881645,https://unlockingarchives.com/relaciones/place/santacruzmixtepec,8582853,Q3892861
Line71: https://unlockingarchives.com/relaciones/place/sanjuanmixtepec | Mexico (country)| Oaxaca (state)| San Juan Mixtepec 17.306511 -97.8311,https://unlockingarchives.com/relaciones/place/sanjuanmixtepec,8582681,Q10812443
